,pred_high,pred_low,actual_low,close,open,actual_high,off_by,return,return_plow_minus_phigh,high,low
2021-01-04,42.651798248291016,40.9192008972168,38.3306,38.73,40.17,40.34,2.5886008972168,-2.1892008972168,1.7325973510742188,10:00:00,12:00:00
2021-01-05,42.404273986816406,40.6414680480957,38.45,39.55,38.49,40.085,2.1914680480957003,-1.091468048095706,1.7628059387207031,15:00:00,10:00:00
2021-01-08,41.85785675048828,40.078575134277344,39.765,40.02,40.41,40.6911,0.3135751342773432,-0.058575134277340624,1.7792816162109375,10:00:00,14:00:00
2021-01-11,42.338340759277344,40.584266662597656,38.9,39.41,39.08,39.99,1.6842666625976577,-1.1742666625976597,1.7540740966796875,11:00:00,10:00:00
2021-01-12,41.87919998168945,40.075767517089844,39.16,40.3,39.69,40.41,0.9157675170898472,0.2242324829101534,1.8034324645996094,16:00:00,10:00:00
2021-01-15,41.918190002441406,40.1485710144043,39.96,39.98,41.67,41.67,0.18857101440429602,-0.1685710144043,1.7696189880371094,10:00:00,16:00:00
2021-01-19,42.09999465942383,40.36994171142578,39.8007,40.31,40.31,40.65,0.5692417114257822,-0.059941711425778976,1.7300529479980469,14:00:00,11:00:00
2021-01-22,42.47757339477539,40.80091857910156,39.81,40.0,40.0,40.27,0.9909185791015602,-0.8009185791015625,1.6766548156738281,11:00:00,15:00:00
2021-01-25,41.717689514160156,39.92135238647461,38.42,38.9,39.63,39.75,1.5013523864746077,-1.0213523864746108,1.7963371276855469,10:00:00,12:00:00
2021-01-26,41.01091766357422,39.15525817871094,38.98,39.32,39.26,39.64,0.17525817871094063,0.16474182128906278,1.8556594848632812,13:00:00,11:00:00
2021-02-01,39.37157440185547,37.41631317138672,37.415,37.82,38.35,38.4448,0.0013131713867196027,0.40368682861328153,1.95526123046875,10:00:00,11:00:00
2021-03-05,46.39625930786133,44.817115783691406,43.01,46.21,46.91,47.0,1.8071157836914082,1.3928842163085946,1.5791435241699219,10:00:00,12:00:00
