,pred_high,pred_low,actual_low,close,open,actual_high,off_by,return,return_plow_minus_phigh,high,low
2021-01-04,42.531578063964844,41.27336883544922,38.3306,38.73,40.17,40.34,2.942768835449222,-2.543368835449222,1.258209228515625,10:00:00,12:00:00
2021-01-05,42.30060577392578,41.02789306640625,38.45,39.55,38.49,40.085,2.577893066406247,-1.4778930664062528,1.2727127075195312,15:00:00,10:00:00
2021-01-06,41.2408561706543,39.789913177490234,39.54,40.38,39.64,40.9,0.24991317749023523,0.5900868225097682,1.4509429931640625,15:00:00,10:00:00
2021-01-08,41.90062713623047,40.453147888183594,39.765,40.02,40.41,40.6911,0.6881478881835932,-0.4331478881835906,1.447479248046875,10:00:00,14:00:00
2021-01-11,42.22838592529297,40.871604919433594,38.9,39.41,39.08,39.99,1.9716049194335952,-1.4616049194335972,1.356781005859375,11:00:00,10:00:00
2021-01-12,41.97322463989258,40.571163177490234,39.16,40.3,39.69,40.41,1.4111631774902378,-0.2711631774902372,1.4020614624023438,16:00:00,10:00:00
2021-01-13,41.518089294433594,40.05779266357422,39.6299,40.45,40.01,40.74,0.4278926635742195,0.3922073364257841,1.460296630859375,15:00:00,11:00:00
2021-01-15,42.180633544921875,40.715763092041016,39.96,39.98,41.67,41.67,0.7557630920410148,-0.7357630920410188,1.4648704528808594,10:00:00,16:00:00
2021-01-19,42.762325286865234,41.16135025024414,39.8007,40.31,40.31,40.65,1.3606502502441415,-0.8513502502441384,1.6009750366210938,14:00:00,11:00:00
2021-01-21,42.00154495239258,40.38787078857422,40.17,40.67,41.31,41.43,0.21787078857421704,0.28212921142578296,1.6136741638183594,10:00:00,13:00:00
2021-01-22,42.60353469848633,41.05457305908203,39.81,40.0,40.0,40.27,1.244573059082029,-1.0545730590820312,1.5489616394042969,11:00:00,15:00:00
2021-01-25,42.39044952392578,40.8515739440918,38.42,38.9,39.63,39.75,2.431573944091795,-1.9515739440917983,1.5388755798339844,10:00:00,12:00:00
2021-01-26,41.819671630859375,40.233917236328125,38.98,39.32,39.26,39.64,1.2539172363281281,-0.9139172363281247,1.58575439453125,13:00:00,11:00:00
2021-01-27,41.01865768432617,39.272483825683594,38.1609,38.52,38.63,39.2254,1.1115838256835957,-0.7524838256835906,1.7461738586425781,12:00:00,10:00:00
2021-01-28,41.2081184387207,39.49259567260742,38.99,40.08,39.55,40.37,0.5025956726074199,0.5874043273925764,1.7155227661132812,11:00:00,10:00:00
2021-01-29,40.748931884765625,38.82538986206055,37.74,37.96,39.27,39.83,1.0853898620605449,-0.865389862060546,1.9235420227050781,10:00:00,15:00:00
2021-02-01,41.20493698120117,39.1528205871582,37.415,37.82,38.35,38.4448,1.737820587158204,-1.3328205871582028,2.0521163940429688,10:00:00,11:00:00
2021-02-18,45.048240661621094,43.754371643066406,43.37,44.38,43.8,44.545,0.3843716430664088,0.6256283569335963,1.2938690185546875,16:00:00,11:00:00
2021-03-04,47.565391540527344,46.388641357421875,45.32,46.96,48.32,48.41,1.0686413574218747,0.5713586425781259,1.1767501831054688,10:00:00,15:00:00
2021-03-05,47.7372932434082,46.518341064453125,43.01,46.21,46.91,47.0,3.508341064453127,-0.30834106445312415,1.2189521789550781,10:00:00,12:00:00
2021-03-23,47.70819854736328,46.31367874145508,45.45,45.64,47.02,47.83,0.8636787414550753,-0.6736787414550776,1.3945198059082031,10:00:00,16:00:00
