date,open,high,low,close,volume,RSI,CMO,Moving Average,MACD,MACD_signal,ROC,PPO
2007-05-03,21.75,21.95,20.55,20.72,8052800.0,,,,,,,
2007-05-04,21.05,21.35,20.7,20.98,5437300.0,,,,,,,
2007-05-07,21.2,21.29,20.2,20.36,2646300.0,,,,,,,
2007-05-08,20.0,20.0,19.3,19.63,4166100.0,,,,,,,
2007-05-09,19.75,20.2,19.63,19.79,7541100.0,,,,,,,
2007-05-10,19.79,19.99,19.55,19.7,3170600.0,,,,,,,
2007-05-11,19.71,19.8,19.11,19.3,3539400.0,,,,,,,
2007-05-14,19.15,19.39,18.75,18.89,1924800.0,,,,,,,
2007-05-15,18.66,18.85,18.15,18.2,3438700.0,,,,,,,
2007-05-16,18.06,18.48,18.02,18.34,2607600.0,,,,,,,
2007-05-17,18.75,19.75,18.67,19.02,8979000.0,,,,,,-8.204633204633204,
2007-05-18,19.25,19.49,18.54,19.31,6562200.0,,,,,,-7.959961868446152,
2007-05-21,19.2,19.34,19.0,19.0,2077700.0,,,,,,-6.679764243614928,
2007-05-22,19.1,19.53,19.0,19.48,4014700.0,,,,,,-0.7641365257259225,
2007-05-23,19.5,19.7,19.1,19.21,2387100.0,36.3471971066908,-27.305605786618404,,,,-2.9307731177362184,
2007-05-24,19.21,19.33,18.85,19.02,2362000.0,35.0503018108652,-29.899396378269593,,,,-3.4517766497461966,
2007-05-25,19.02,19.05,18.69,18.76,895000.0,33.299350070090505,-33.40129985981899,,,,-2.797927461139893,
2007-05-29,18.91,19.2,18.85,19.09,2918800.0,37.56270756937803,-24.87458486124395,,,,1.0587612493382803,
2007-05-30,19.05,19.15,18.81,18.98,2829300.0,36.72016900985907,-26.559661980281852,,,,4.285714285714293,
2007-05-31,19.15,19.28,19.03,19.05,3435200.0,37.67816386114428,-24.643672277711453,19.3415,,,3.8713195201744766,
2007-06-01,19.1,19.8,19.05,19.55,2299400.0,44.178770807716845,-11.64245838456632,19.283,,,2.786540483701372,
2007-06-04,18.73,19.05,18.69,18.84,5692700.0,38.10125645976481,-23.797487080470383,19.176,,,-2.433972035214904,
2007-06-05,18.85,19.04,18.73,18.95,4510000.0,39.49011405657736,-21.019771886845263,19.1055,,,-0.2631578947368429,
2007-06-06,18.7,18.93,18.65,18.93,2595300.0,39.31737822726223,-21.365243545475526,19.0705,,,-2.823408624229984,
2007-06-07,18.77,18.85,18.15,18.48,3062100.0,35.549516621767225,-28.900966756465547,19.005,,,-3.800104112441438,
2007-06-08,18.2,18.83,18.2,18.83,2124100.0,40.3385147468918,-19.32297050621639,18.961499999999997,,,-0.9989484752891742,-1.4151728915622148
2007-06-11,18.55,18.82,18.22,18.38,1870000.0,36.57548434676258,-26.84903130647483,18.915499999999998,,,-2.025586353944575,-1.3130684441945597
2007-06-12,18.03,18.71,18.02,18.4,8636200.0,36.85741503132057,-26.285169937358848,18.891,,,-3.614457831325313,-1.0703209617415448
2007-06-13,18.48,18.7,18.36,18.64,3110200.0,40.287585833801316,-19.424828332397375,18.912999999999997,,,-1.7913593256059013,-0.7783650957597955
2007-06-14,18.5,19.01,18.425,18.9,8069700.0,43.84649610860637,-12.307007782787268,18.940999999999995,,,-0.7874015748031593,-0.7149521337010762
2007-06-15,18.89,19.14,18.45,18.88,3418900.0,43.63107431049916,-12.737851379001686,18.933999999999997,,,-3.427109974424558,-0.5753899714844339
2007-06-18,18.65,18.9,18.5,18.54,1339900.0,40.03044223588607,-19.93911552822786,18.8955,,,-1.5923566878980888,-0.5655471142160189
2007-06-19,18.59,19.08,18.55,18.87,3113000.0,44.79256023839168,-10.41487952321664,18.889,,,-0.4221635883904895,-0.7787336404778034
2007-06-20,19.0,19.49,18.82,19.36,4031500.0,51.012947702549816,2.025895405099624,18.883,-0.16187208046581247,-0.2613257570916774,2.2715266772319165,-0.6442502868237177
2007-06-21,19.2,19.6,19.02,19.51,3985700.0,52.76739992540301,5.53479985080602,18.898,-0.09917902695880798,-0.2288964110651035,5.573593073593086,-0.6621709457263162
2007-06-22,19.5,19.85,19.37,19.75,11822000.0,55.51276627547077,11.025532550941536,18.9345,-0.029784993277150562,-0.1890741275075129,4.885820499203408,-0.5860152985099556
2007-06-25,19.69,19.74,19.11,19.43,1974400.0,51.23653100970369,2.473062019407377,18.968,-0.0006040837741210225,-0.15138011876083451,5.71273122959739,-0.2519528878455249
2007-06-26,19.5,19.66,19.27,19.49,2237000.0,51.98340280039025,3.96680560078052,18.988000000000003,0.02705166109320345,-0.11569376279002691,5.923913043478257,0.0010114905324750073
2007-06-27,19.4,19.59,19.13,19.42,2216000.0,51.001949337675256,2.0038986753505066,19.01,0.04282694084859173,-0.08398962206230318,4.184549356223188,0.3715756424250259
2007-06-28,19.75,19.89,19.6225,19.67,2547200.0,54.319107928278285,8.638215856556597,19.041000000000004,0.07464145415154633,-0.05226340681953327,4.074074074074097,0.8890146081264172
2007-06-29,19.55,19.83,19.51,19.7,2022200.0,54.7152991650513,9.430598330102601,19.0485,0.1011099024185178,-0.021588744971923052,4.343220338983045,1.2528090643629315
2007-07-02,19.57,19.76,19.53,19.58,1831600.0,52.74471970203919,5.4894394040783885,19.085500000000003,0.11112239148900827,0.004953482320263214,5.609492988133757,1.4355417557159962
2007-07-03,19.71,20.26,19.71,20.25,2960900.0,61.15640205907109,22.3128041181422,19.1505,0.17114787561558842,0.03819236097932826,7.313195548489659,1.7284124335806035
2007-07-05,20.01,20.73,19.92,20.52,2640100.0,63.94193669282669,27.88387338565338,19.23,0.2377644472177174,0.0781067782270061,5.991735537190079,2.2967194494555034
2007-07-06,20.55,20.9,20.38,20.83,1966900.0,66.87876307412665,33.75752614825329,19.3475,0.3119766962254502,0.12488076182669491,6.765761148129146,2.76684972541191
2007-07-09,20.94,21.39,20.855,21.33,2872800.0,70.98373655140901,41.967473102818026,19.4725,0.4064509460608505,0.18119479867352603,7.999999999999985,3.1495802105905164
2007-07-10,21.18,21.25,20.53,20.65,2367100.0,60.07825792527532,20.156515850550637,19.586,0.4215922991106815,0.22927429876095712,6.278950077200207,3.414463200629513
2007-07-11,20.18,20.59,20.0,20.12,2387700.0,53.21582218305326,6.431644366106531,19.672,0.3863715096299458,0.26069374093475484,3.2324268855823624,3.3111731069824875
2007-07-12,20.43,20.63,20.11,20.43,3455400.0,56.35601196086564,12.712023921731285,19.7615,0.3791031245993963,0.28437561766768316,5.200823892893913,3.4369718610875775
2007-07-13,20.35,20.54,20.08,20.5,1751700.0,57.05693599483399,14.11387198966797,19.841500000000003,0.37467230299882814,0.30243495473391213,4.21962379257752,3.5479683750934488
2007-07-16,20.45,21.0,20.31,20.94,2891700.0,61.26768451029901,22.535369020598036,19.9445,0.4020308068388516,0.32235412515490003,6.294416243654832,3.693989926668257
2007-07-17,21.0,21.25,20.78,21.19,4383100.0,63.46001801158177,26.920036023163536,20.077,0.43882700435638,0.345648700995196,8.222676200204315,3.8588424771404872
2007-07-18,21.79,21.8,21.15,21.37,9011300.0,64.9962774779518,29.99255495590361,20.202,0.47701403085180516,0.37192176696651785,5.53086419753086,3.9582001665795232
2007-07-19,21.48,21.8,21.4,21.51,8636500.0,66.18702540787528,32.37405081575057,20.3095,0.512664675190365,0.40007034861128726,4.824561403508776,4.140834584825524
2007-07-20,21.41,21.58,21.0,21.4,4248400.0,64.33518527628316,28.67037055256631,20.404,0.5259788304392039,0.4252520449768706,2.736437830052818,4.067555317220182
2007-07-23,21.4,21.5,21.01,21.11,4399000.0,59.60070793308444,19.201415866168894,20.472,0.5072821847744571,0.44165807293638787,-1.0314111579934337,3.8727313181399277
2007-07-24,21.15,21.6,20.73,21.33,6101200.0,61.89184352845163,23.78368705690324,20.567,0.504402679655076,0.4542069942801255,3.2929782082324444,3.5952923310554428
2007-07-25,21.3,21.31,20.45,20.78,2779100.0,53.69354369578174,7.387087391563467,20.6315,0.45252383456547207,0.4538703623371948,3.280318091451284,2.931410353344437
2007-07-26,20.56,20.56,18.87,19.36,9754300.0,39.241085317287194,-21.517829365425612,20.6285,0.29344469571105236,0.4217852290119663,-5.237395986294668,2.3083363234063072
2007-07-27,19.71,19.72,18.37,18.59,4562800.0,33.91086042512661,-32.1782791497468,20.574499999999997,0.10404144224150613,0.35823647165787426,-9.317073170731705,1.830383034521019
2007-07-30,18.5,18.59,17.32,18.05,8926900.0,30.755723649941086,-38.48855270011782,20.491999999999997,-0.08861400070177439,0.2688663771859445,-13.801337153772685,1.134395347367112
2007-07-31,18.28,18.54,17.72,17.82,3582900.0,29.496873248114174,-41.00625350377166,20.404,-0.25689260698836947,0.16371458035108172,-15.903728173666831,0.40067000399719316
2007-08-01,18.0,18.65,17.18,18.35,7082200.0,35.997807062285155,-28.004385875429687,20.309,-0.34352806653497936,0.06226605097386949,-14.131960692559664,-0.4628481692701718
2007-08-02,18.67,19.5,18.26,18.88,7427800.0,41.77917252309388,-16.441654953812236,20.227,-0.36521079903975817,-0.023229319028856055,-12.22687122268713,-1.30264028923513
2007-08-03,18.88,19.17,18.19,18.7,3412800.0,40.443006806967496,-19.11398638606501,20.1205,-0.3923957228080077,-0.09706259978468638,-12.616822429906538,-2.2729590535923574
2007-08-06,18.94,19.0,17.71,18.02,5659800.0,35.78668439141062,-28.42663121717876,19.955000000000002,-0.46346772037221484,-0.17034362390219207,-14.63761250592136,-3.414155365009937
2007-08-07,17.85,18.77,17.85,18.45,2725000.0,40.45528831627153,-19.089423367456952,19.845000000000002,-0.47956723162198145,-0.23218834544614997,-13.502109704641352,-4.41102949659654
2007-08-08,18.38,18.85,18.05,18.49,2724100.0,40.88584431652743,-18.22831136694514,19.7635,-0.4835247719843707,-0.2824556307537941,-11.020211742059683,-5.3040959336120705
2007-08-09,18.04,18.13,17.65,17.87,3314300.0,36.482456793005056,-27.035086413989884,19.6355,-0.5305738446673303,-0.33207927353650135,-7.696280991735527,-6.3190021745161955
2007-08-10,17.5,17.61,16.95,17.56,3903000.0,34.48273173726697,-31.03453652546605,19.488500000000002,-0.5861185728985134,-0.3828871334089038,-5.540613232920933,-7.137433561123731
2007-08-13,17.65,18.05,17.18,17.29,2050800.0,32.796562020545046,-34.40687595890991,19.306000000000004,-0.6444955699696848,-0.43520882072106,-4.210526315789487,-7.372228430276991
2007-08-14,17.29,17.579,15.96,16.97,5720100.0,30.869899142183023,-38.260201715633954,19.095000000000006,-0.7084149201539951,-0.48985004060764703,-4.76992143658811,-7.267712020247938
2007-08-15,16.85,16.95,15.02,15.75,3556000.0,24.871070861252402,-50.2578582774952,18.814000000000004,-0.8477430159376702,-0.5614286356736516,-14.168937329700281,-7.355456608696207
2007-08-16,15.25,16.2,14.94,15.92,6312100.0,26.999841144187332,-46.000317711625335,18.534500000000005,-0.9336810623102032,-0.635879121000962,-15.677966101694906,-7.400881944304609
2007-08-17,16.55,16.6,15.02,16.0,4152000.0,28.033266563817648,-43.93346687236471,18.264500000000005,-0.983989434114207,-0.705501183623611,-14.438502673796794,-7.601923337396712
2007-08-20,16.1,16.65,15.86,16.08,1933600.0,29.11395563676753,-41.772088726464936,18.013000000000005,-1.005809503942256,-0.7655628476873401,-10.765815760266372,-8.008391761313126
2007-08-21,16.01,17.83,15.95,17.71,5527200.0,46.68205176630786,-6.635896467384293,17.832000000000004,-0.8814142936486498,-0.788733136879602,-4.01084010840107,-7.8378564303649005
2007-08-22,18.15,18.65,17.64,18.1,4715900.0,49.882529335789236,-0.23494132842152687,17.698000000000008,-0.742797940357093,-0.7795460975751002,-2.109248242293116,-7.210360154529926
2007-08-23,18.0,18.15,17.55,18.0,2271300.0,49.0691926753949,-1.8616146492102001,17.630000000000006,-0.6337076585434005,-0.7503784097687602,0.7274762171236571,-6.760233428852272
2007-08-24,17.79,18.28,17.62,18.24,983600.0,51.12873802999206,2.2574760599841133,17.612500000000008,-0.5218710256860248,-0.7046769329522131,3.8724373576309867,-6.23218623197559
2007-08-27,17.61,18.23,17.5,17.7,1321100.0,46.56598659691679,-6.868026806166433,17.595000000000006,-0.47137940705775705,-0.658017427773322,2.3713128976286857,-5.573951434878556
2007-08-28,17.55,17.68,17.23,17.35,1240500.0,43.83546081857121,-12.329078362857596,17.571500000000007,-0.4543688294195647,-0.6172877081025705,2.2392457277548683,-4.911631290653882
2007-08-29,17.46,17.64,17.31,17.36,1092700.0,43.936612579106836,-12.126774841786329,17.52200000000001,-0.4350657406213294,-0.5808433146063223,10.222222222222221,-4.064251134753284
2007-08-30,17.05,17.3,16.82,16.98,1210500.0,40.920675217901056,-18.15864956419787,17.42700000000001,-0.4452976141768836,-0.5537341745204346,6.658291457286425,-3.2663170797159755
2007-08-31,17.05,17.27,16.82,16.88,1239900.0,40.13981693595373,-19.720366128092532,17.33600000000001,-0.45621663061868034,-0.5342306657400837,5.499999999999994,-2.2058877148461606
2007-09-04,17.04,17.68,16.9701,17.53,1992800.0,47.19348439866274,-5.613031202674522,17.311500000000013,-0.407720513806769,-0.5089286353534208,9.01741293532341,-1.2136827102291496
